project_id,Sensors_cnt,Sensors_A_cnt,Sensors_B_cnt,Sensors_C_cnt,project_name,seeding_date,zan,flower_per_m,du_gidul,kav_noa,area,ET_station,sensor_type
2772,3,2,1,0,Yarkon Hava Cotton 2015,2015-01-01,0,2015-06-09,0,0,emek_hefer,beit_dagan,regular
2790,2,2,0,0,Mizra 75 Cotton 2015,2015-03-25,5,2015-01-01,0,0,emek_yizrael,nir_haemek,regular
2791,2,2,0,0,Mizra 36 Cotton 2015,2015-03-29,9,2015-01-01,0,0,emek_yizrael,nir_haemek,regular
2793,3,3,0,0,Harel Yashan Cotton 2015,2015-03-15,4,2015-06-16,0,0,darom,nahshon,regular
2794,3,3,0,0,Harel 350 Cotton 2015,2015-03-16,5,2015-06-16,0,0,darom,nahshon,regular
2795,3,3,0,0,Harel Gimel Cotton 2015,2015-03-11,5,2015-06-16,0,0,darom,nahshon,regular
2796,3,3,0,0,Harel Avocado Cotton 2015,2015-03-10,9,2015-06-16,0,0,darom,nahshon,regular
2797,3,3,0,0,Shemesh Mata akur Cotton 2015,2015-03-10,4,2015-01-01,0,1,galil_elion,kfar_blum,regular
2798,3,3,0,0,Shemesh 4 Cotton 2015,2015-03-06,5,2015-01-01,0,0,galil_elion,kfar_blum,regular
2799,3,3,0,0,Shemesh Ahuza 12 Cotton 2015,2015-03-10,12,2015-01-01,0,0,galil_elion,kfar_blum,regular
2800,3,3,0,0,Shemesh Ahuza 5 Cotton 2015,2015-03-10,5,2015-01-01,0,0,galil_elion,kfar_blum,regular
2801,3,3,0,0,Gat Tel maarav tzafon Cotton 2015,2015-03-16,5,2015-06-14,0,0,darom,negba,regular
2802,3,3,0,0,Gat Tel maarav darom Cotton 2015,2015-03-16,5,2015-06-14,0,0,darom,negba,regular
2803,3,3,0,0,Gat Aroch gimel Cotton 2015,2015-03-16,5,2015-06-14,0,0,darom,negba,regular
2804,4,3,1,0,Gat Block katzar Cotton 2015,2015-03-15,4,2015-06-14,0,0,darom,negba,regular
2805,3,3,0,0,Gat Block be'er Cotton 2015,2015-03-15,4,2015-06-14,0,0,darom,negba,regular
2811,2,1,1,0,Netofa 201 darom maarav Cotton 2015,2015-03-11,5,2015-01-01,0,0,galil_maaravi,akko,regular
2812,2,2,0,0,Netofa 201 tzafon mizrah Cotton 2015,2015-03-11,5,2015-01-01,0,0,galil_maaravi,akko,regular
2813,3,2,1,0,Netofa 202 darom maarav Cotton 2015,2015-03-11,9,2015-01-01,0,0,galil_maaravi,akko,regular
2814,2,2,0,0,Netofa 202 tzafon maarav Cotton 2015,2015-03-11,9,2015-01-01,0,0,galil_maaravi,akko,regular
2815,2,2,0,0,Netofa 103 mizrah Cotton 2015,2015-03-15,5,2015-01-01,0,0,galil_maaravi,akko,regular
2816,3,2,1,0,Netofa 103 maarav Cotton 2015,2015-03-15,5,2015-01-01,0,0,galil_maaravi,akko,regular
2817,2,2,0,0,Netofa 106 darom Cotton 2015,2015-03-15,1,2015-01-01,0,0,galil_maaravi,akko,regular
2818,2,2,0,0,Netofa 106 tzafon Cotton 2015,2015-03-15,1,2015-01-01,0,0,galil_maaravi,akko,regular
2819,3,2,1,0,Netofa 223 mizrah Cotton 2015,2015-03-10,5,2015-01-01,0,0,galil_maaravi,akko,regular
2820,2,2,0,0,Netofa 223 maarav Cotton 2015,2015-03-10,5,2015-01-01,0,0,galil_maaravi,akko,regular
2821,2,2,0,0,Netofa 222 mizrah Cotton 2015,2015-03-09,1,2015-01-01,0,0,galil_maaravi,akko,regular
2822,2,1,1,0,Netofa 222 maarav Cotton 2015,2015-03-09,1,2015-01-01,0,0,galil_maaravi,akko,regular
2823,2,2,0,0,Alonim 50 Cotton 2015,2015-03-20,99,2015-01-01,0,0,emek_yizrael,tel_tura,regular
2824,3,0,3,0,Alonim 51 Cotton 2015,2015-03-20,99,2015-01-01,0,0,emek_yizrael,tel_tura,regular
2825,2,2,0,0,Alonim 91 Cotton 2015,2015-03-18,4,2015-06-19,0,0,emek_yizrael,tel_tura,regular
2826,3,0,3,0,Alonim 81 Cotton 2015,2015-03-17,5,2015-06-15,0,0,emek_yizrael,tel_tura,regular
2827,3,1,1,1,Alonim 92 PS Cotton 2015,2015-03-18,4,2015-06-19,0,0,emek_yizrael,tel_tura,regular
2828,3,3,0,0,Gan Shmuel Kav3 Gl5 Cotton 2015,2015-03-10,5,2015-06-09,0,0,emek_hefer,beit_dagan,regular
2829,3,3,0,0,Gan Shmuel Kav2 Gl5 Cotton 2015,2015-03-10,5,2015-06-09,0,0,emek_hefer,beit_dagan,regular
2830,4,3,1,0,Gan Shmuel Kav3 Gl9 Cotton 2015,2015-03-10,9,2015-06-07,0,0,emek_hefer,beit_dagan,regular
2830,4,3,1,0,Gan Shmuel Kav3 Gl9 Cotton 2015,2015-01-01,0,2015-01-01,0,0,emek_hefer,beit_dagan,regular
2831,3,3,0,0,Gan Shmuel Kav2 Gl9 Cotton 2015,2015-03-10,9,2015-06-07,0,0,emek_hefer,beit_dagan,regular
2832,3,3,0,0,Gan Shmuel Kav 9 Cotton 2015,2015-03-15,5,2015-06-07,0,0,emek_hefer,beit_dagan,regular
2833,3,3,0,0,Gan Shmuel Kav 11 Cotton 2015,2015-03-15,5,2015-06-17,0,0,emek_hefer,beit_dagan,regular
2834,3,3,0,0,Gan Shmuel Kav 8 Cotton 2015,2015-03-16,4,2015-06-17,0,0,emek_hefer,beit_dagan,regular
2835,3,3,0,0,Gan Shmuel Kav 10 Cotton 2015,2015-03-16,4,2015-06-17,0,0,emek_hefer,beit_dagan,regular
2836,3,3,0,0,Tzoraa Lavan maarav darom Cotton 2015,2015-03-19,9,2015-06-23,0,1,darom,nahshon,regular
2837,3,3,0,0,Tzoraa 13 darom Cotton 2015,2015-03-15,4,2015-06-15,0,0,darom,nahshon,regular
2838,3,3,0,0,Tzoraa 13 tzafon Cotton 2015,2015-03-15,4,2015-06-15,0,0,darom,nahshon,regular
2839,3,3,0,0,Tzoraa 14 darom Cotton 2015,2015-03-17,1,2015-06-23,0,0,darom,nahshon,regular
2840,3,3,0,0,Tzoraa kzaza alef maarav Cotton 2015,2015-03-10,4,2015-06-23,0,0,darom,nahshon,regular
2841,3,3,0,0,Tzoraa kzaza alef mizrah Cotton 2015,2015-03-13,5,2015-06-15,0,0,darom,nahshon,regular
2842,3,3,0,0,Tzoraa Shoresh 3 Cotton 2015,2015-03-14,4,2015-06-15,0,0,darom,nahshon,regular
2843,3,0,3,0,Tzoraa Shoresh 1 Cotton 2015,2015-03-11,5,2015-06-15,0,0,darom,nahshon,regular
2844,3,3,0,0,Tzoraa Shoresh 5 Cotton 2015,2015-03-14,4,2015-06-15,0,0,darom,nahshon,regular
